l2_province,l3_city,l3_city_id,longitude,latitude,,,,,,,,,
Kalimantan Selatan,Banjar,9196d41c-5dfd-41b4-b2c2-1f0dea7d2195,115.08333,-3.38333,,,,,,,,,
Kalimantan Selatan,Banjar Baru,15c712bf-ad2e-417c-924d-1a54ce5ed45a,114.81162,-3.48304,,,,,,,,,
Kalimantan Selatan,Banjarmasin,434e6028-4cd9-449b-b571-38e8e9a182e1,114.59102,-3.32444,,,,,,,,,
Kalimantan Selatan,Barito Kuala,0e33a0ef-ea56-46e2-a371-f9d46f2c1537,114.68333,-3.08333,,,,,,,,,
Kalimantan Selatan,Baru,43ae3447-40e6-4f2e-8cc9-b903ee7c16b5,116,-2.76667,,,,,,,,,
Kalimantan Selatan,Hulu Sungai Selatan,8e137ac9-3ad3-4596-8e2e-297dc645ee98,115.21667,-2.76667,,,,,,,,,
Kalimantan Selatan,Hulu Sungai Tengah,3b5a3b7d-e85c-4b66-985c-9f450f5cbe70,115.51667,-2.6,,,,,,,,,
Kalimantan Selatan,Hulu Sungai Utara,4bfc5f24-da2c-485b-b6cd-4807ed33899b,115.16667,-2.43333,,,,,,,,,
Kalimantan Selatan,Tabalong,4e52d01d-55aa-46ba-8767-48428e90e6e6,115.55,-1.83333,,,,,,,,,
Kalimantan Selatan,Tanah Bumbu,b6aaf7a0-1bfe-488d-89e8-a4afe6eec0ec,115.70372,-3.45413,,,,,,,,,
Kalimantan Selatan,Tanah Laut,e0e2fc25-a0d7-4e67-8658-cdd09352c2f5,114.83333,-3.85,,,,,,,,,
Kalimantan Selatan,Tapin,a9948c9e-06ec-446a-8c61-ff58b0b63463,115.03333,-2.96667,,,,,,,,,
Kalimantan Tengah,Barito Selatan,86368c94-26fc-40b2-bca2-7cfc7dad432e,114.78333,-1.76667,,,,,,,,,
Kalimantan Tengah,Barito Timur,ed34c789-e7a8-414a-90b3-eee992f3faca,115.15,-1.98333,,,,,,,,,
Kalimantan Tengah,Barito Utara,16978779-90fa-4090-8008-4b6e8583e583,115.06667,-0.93333,,,,,,,,,
Kalimantan Tengah,Gunung Mas,7f91d94b-7025-45b1-81fd-12c29de2e532,113.56667,-1.03333,,,,,,,,,
Kalimantan Tengah,Kapuas,1712d121-7c1b-4be7-ab91-edc51822a8bc,114.3,-1.75,,,,,,,,,
Kalimantan Tengah,Katingan,61931026-546e-401f-9d6e-59f7da283494,113.21667,-1.68333,,,,,,,,,
Kalimantan Tengah,Lamandau,e7f87fd4-3d82-4766-8906-6da29a25ecf8,111.2869,-1.83828,,,,,,,,,
Kalimantan Tengah,Murung Raya,1cab847d-26c8-47a1-af91-4c0d4a322edc,114.28333,-0.03333,,,,,,,,,
Kalimantan Tengah,Palangka Raya,17e55401-6c1b-4f51-bd08-e3d7dea4879e,113.73126,-1.76979,,,,,,,,,
